,vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,Manhattan distance (miles),pickup_hour_min,pickup_hour,pickup_month,pickup_day,pickup_weekday,pickup_area_0,dropoff_area_0,pickup_area_1,dropoff_area_1,pickup_area_2,dropoff_area_2,pickup_area_3,dropoff_area_3,pickup_area_4,dropoff_area_4,pickup_area_5,dropoff_area_5,pickup_area_6,dropoff_area_6,pickup_area_7,dropoff_area_7,pickup_area_8,dropoff_area_8,pickup_area_9,dropoff_area_9,pickup_area_10,dropoff_area_10,pickup_area_11,dropoff_area_11,pickup_area_12,dropoff_area_12,pickup_area_13,dropoff_area_13,pickup_area_14,dropoff_area_14,trip_duration
947508,2,1,-73.99226379394531,40.724910736083984,-73.9832992553711,40.67112350463867,0,4.182032585144043,521,20,5,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1188
974791,1,1,-73.98584747314453,40.74352264404297,-73.9854965209961,40.73565673828125,0,0.5611861944198608,434,18,4,27,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,319
33023,2,1,-73.87303924560547,40.774131774902344,-73.96875762939453,40.75807571411133,0,6.1290364265441895,412,17,4,20,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952
532008,2,1,-73.99198913574219,40.74266815185547,-73.99422454833984,40.72857666015625,0,1.0896674394607544,304,12,4,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,684
1056868,2,2,-73.96245574951172,40.77017593383789,-73.95113372802734,40.779396057128906,0,1.2301733493804932,489,20,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,338
394909,1,1,-73.98933410644531,40.7261848449707,-73.9937744140625,40.7452507019043,0,1.548685908317566,147,5,2,7,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,512
564883,1,1,-73.99989318847656,40.74342346191406,-73.98499298095703,40.745147705078125,0,0.9009608030319214,417,15,3,18,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,530
534308,2,3,-74.0024185180664,40.71974182128906,-73.98726654052734,40.750701904296875,0,2.93180251121521,286,10,2,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,700
758993,1,1,-73.9737319946289,40.7630615234375,-73.98198699951172,40.74625778198242,0,1.5926110744476318,328,12,3,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,784
324729,1,1,-74.001953125,40.74042510986328,-73.99188995361328,40.764671325683594,0,2.2012078762054443,81,3,3,13,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,376
486701,2,1,-73.94939422607422,40.781551361083984,-73.95381927490234,40.76765441894531,0,1.1910306215286255,26,1,4,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,314
704704,2,1,-73.95211029052734,40.74283981323242,-73.97136688232422,40.75529861450195,0,1.870312213897705,525,21,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773
244016,2,1,-73.95883178710938,40.7723503112793,-73.990478515625,40.7513542175293,0,3.1089344024658203,281,11,3,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1191
1103742,2,5,-73.95316314697266,40.77840805053711,-73.96967315673828,40.78962707519531,0,1.6401615142822266,536,20,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,354
1000876,1,2,-73.99166107177734,40.75013732910156,-73.88557434082031,40.773250579833984,0,7.161898136138916,351,14,4,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1418
188308,2,6,-73.96920013427734,40.76673889160156,-73.9817123413086,40.76335144042969,0,0.8901724815368652,256,9,2,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,629
979237,2,2,-73.9971923828125,40.724769592285156,-74.00888061523438,40.7053108215332,0,1.9562854766845703,50,2,6,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,448
929802,2,1,-73.96208953857422,40.767791748046875,-73.95330047607422,40.77933120727539,0,1.2573509216308594,456,17,3,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,132
148892,1,1,-73.98217010498047,40.767547607421875,-73.97057342529297,40.762393951416016,0,0.9640069603919983,427,16,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1115
466843,2,2,-73.98464965820312,40.74561309814453,-73.98745727539062,40.76055145263672,0,1.1781301498413086,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,379
537128,1,1,-73.97004699707031,40.78986740112305,-73.97946166992188,40.77692413330078,0,1.3868768215179443,449,18,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
1053685,2,1,-73.96652221679688,40.79502868652344,-73.93617248535156,40.83087921142578,0,4.065374374389648,377,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321
57803,2,1,-73.95558166503906,40.76611328125,-73.94773864746094,40.77494812011719,0,1.0211024284362793,374,14,5,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,685
175290,1,1,-73.9913101196289,40.75032424926758,-73.95626068115234,40.763572692871094,0,2.753432273864746,464,18,5,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1358
25656,1,1,-73.97834777832031,40.751670837402344,-74.0020523071289,40.732818603515625,1,2.544746160507202,425,16,1,10,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,680
42837,2,1,-74.00479888916016,40.7375602722168,-73.98442840576172,40.74258041381836,0,1.4155677556991577,207,8,4,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,592
84654,1,1,-73.97962951660156,40.736026763916016,-73.95645904541016,40.77388381958008,0,3.8283944129943848,54,2,5,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,596
103734,1,1,-73.98209381103516,40.762596130371094,-74.00570678710938,40.73587417602539,0,3.0827724933624268,486,19,4,28,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1111
234979,1,1,-73.99332427978516,40.7520866394043,-73.98555755615234,40.748565673828125,0,0.6505116820335388,365,15,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,427
488787,1,3,-73.95014953613281,40.784122467041016,-73.9906234741211,40.760887145996094,0,3.7261390686035156,470,18,3,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1407
766976,2,5,-74.0038833618164,40.747535705566406,-73.94857788085938,40.70896530151367,0,5.563781261444092,555,22,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2325
366355,2,1,-73.99944305419922,40.733760833740234,-74.01509094238281,40.71590042114258,0,2.053752899169922,319,11,6,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,833
998636,2,5,-73.98712158203125,40.770790100097656,-73.97434997558594,40.788551330566406,0,1.8955758810043335,577,23,5,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,243
592128,1,1,-74.00223541259766,40.72946548461914,-73.97919464111328,40.73705291748047,0,1.7330161333084106,296,11,3,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,748
402269,2,1,-73.98660278320312,40.72214889526367,-73.94700622558594,40.68362045288086,0,4.737288951873779,26,1,5,15,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1142
788858,2,1,-74.0003433227539,40.72122573852539,-74.00849151611328,40.71898651123047,0,0.582282543182373,368,14,1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,354
419790,1,3,-73.870849609375,40.773643493652344,-73.98646545410156,40.731346130371094,0,8.983565330505371,437,17,6,15,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2784
909508,2,1,-73.94358825683594,40.77663040161133,-73.98123931884766,40.780731201171875,0,2.2579643726348877,536,21,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,883
769596,2,1,-73.96564483642578,40.765655517578125,-73.96868133544922,40.76149368286133,0,0.44648510217666626,371,15,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
727920,1,1,-73.98921203613281,40.71877670288086,-73.93109893798828,40.67585372924805,0,6.012755393981934,102,4,5,21,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1001
725630,2,1,-73.9736099243164,40.75010299682617,-73.87129211425781,40.774131774902344,0,7.027297019958496,308,11,2,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933
917291,2,1,-74.00851440429688,40.70773696899414,-73.97734069824219,40.75546646118164,0,4.930366516113281,300,12,2,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1546
494062,2,2,-73.99423217773438,40.75624084472656,-74.00605773925781,40.72364044189453,0,2.8700144290924072,334,12,2,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,662
189597,2,1,-73.94961547851562,40.77702713012695,-73.96630859375,40.771427154541016,0,1.2620518207550049,280,11,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,627
396515,1,1,-73.99121856689453,40.73885726928711,-73.98308563232422,40.750850677490234,0,1.2544336318969727,365,15,5,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,375
979723,2,1,-73.96745300292969,40.802879333496094,-73.96086883544922,40.80693054199219,0,0.624785304069519,178,6,4,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
57685,2,1,-73.96856689453125,40.7696418762207,-73.95992279052734,40.78049087524414,0,1.202089786529541,392,16,4,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,330
624815,2,2,-73.96520233154297,40.759578704833984,-73.94812774658203,40.66175079345703,0,7.646224498748779,563,22,4,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2244
360264,2,1,-73.9568862915039,40.7807502746582,-73.95278930664062,40.786190032958984,0,0.5902553796768188,481,20,5,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,120
660832,2,5,-73.9912109375,40.733009338378906,-74.0103530883789,40.720211029052734,0,1.8878775835037231,320,11,3,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,628
543506,1,2,-73.96859741210938,40.786373138427734,-73.98393249511719,40.78025436401367,0,1.2265028953552246,290,10,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496
468432,2,2,-73.94918060302734,40.79396057128906,-73.96874237060547,40.75833511352539,0,3.4841151237487793,86,2,2,28,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504
833430,1,1,-73.97392272949219,40.75015640258789,-73.91587829589844,40.8112678527832,0,7.26282262802124,541,21,5,25,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361
465091,1,1,-73.9863052368164,40.74348449707031,-73.98680877685547,40.757896423339844,0,1.020888328552246,545,22,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,529
106745,1,1,-74.00287628173828,40.76055908203125,-73.99076080322266,40.7508544921875,0,1.3053174018859863,480,19,4,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,682
159496,2,6,-73.97181701660156,40.7568359375,-73.98127746582031,40.737876892089844,0,1.8046224117279053,64,1,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,286
61154,2,1,-73.97772979736328,40.75273513793945,-74.00579833984375,40.71849060058594,0,3.835829973220825,224,7,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1095
689232,2,1,-73.99707794189453,40.722389221191406,-73.99456024169922,40.72785186767578,0,0.5091097354888916,343,13,6,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
252218,1,1,-74.00473022460938,40.723575592041016,-73.99146270751953,40.71934509277344,0,0.9884189963340759,505,20,5,28,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,828
60603,2,1,-73.96408081054688,40.76599884033203,-73.9828109741211,40.781978607177734,0,2.085304021835327,469,18,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040
928311,2,3,-73.9833984375,40.762386322021484,-73.99105834960938,40.750335693359375,0,1.2334153652191162,310,12,5,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,732
749976,1,1,-73.99136352539062,40.74980545043945,-73.97734832763672,40.74372863769531,0,1.1547828912734985,197,7,2,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,636
355451,1,1,-73.98358917236328,40.72158432006836,-73.97824096679688,40.75248336791992,0,2.412885904312134,206,7,5,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765
308478,2,1,-74.00277709960938,40.73985290527344,-74.0074691772461,40.74330139160156,0,0.4842144250869751,458,19,2,12,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
837977,1,1,-73.95806884765625,40.78180694580078,-73.95162200927734,40.797935485839844,0,1.451064944267273,392,16,6,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,573
682649,2,1,-73.99036407470703,40.740272521972656,-73.97510528564453,40.75554656982422,0,1.8547903299331665,482,18,3,13,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,525
125222,1,1,-73.99808502197266,40.750797271728516,-73.98651885986328,40.74763488769531,0,0.825154185295105,247,9,1,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,412
1001332,1,1,-74.01046752929688,40.7043571472168,-73.98249816894531,40.763763427734375,0,5.567911624908447,421,16,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1808
415252,2,1,-73.78163146972656,40.64487075805664,-73.98108673095703,40.68910598754883,0,13.53542709350586,569,23,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1607
225064,1,1,-73.94658660888672,40.78055191040039,-73.95161437988281,40.79065704345703,0,0.9610033631324768,188,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,479
622803,1,1,-73.99308776855469,40.76293182373047,-73.9727554321289,40.75619125366211,0,1.5318756103515625,168,6,5,27,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,441
128782,1,1,-73.98789978027344,40.72004318237305,-73.9497299194336,40.78736877441406,0,6.649559020996094,514,21,6,24,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1075
598109,2,1,-73.98280334472656,40.74205017089844,-73.98049926757812,40.76279830932617,0,1.5526018142700195,448,18,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,783
311797,1,1,-73.99229431152344,40.7496337890625,-74.00350952148438,40.75242614746094,0,0.7812153100967407,197,6,2,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,299
600192,2,5,-73.97418212890625,40.68627166748047,-73.99748229980469,40.695560455322266,0,1.8648161888122559,591,23,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,558
899092,2,1,-74.00835418701172,40.735843658447266,-74.0160140991211,40.71119689941406,0,2.1027333736419678,503,19,3,16,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,514
666350,2,1,-73.98869323730469,40.748748779296875,-73.97512817382812,40.76180648803711,0,1.6128745079040527,173,5,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,234
714777,2,5,-73.96370697021484,40.71036148071289,-73.97696685791016,40.74315643310547,0,2.9591727256774902,479,18,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1396
78089,2,1,-73.96702575683594,40.76641845703125,-73.97554779052734,40.751380920410156,0,1.4847263097763062,247,8,1,15,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705
